Filename,Year,Month,Date,Description,Type of Notice,Number of Repos Affected
2021-03-05-adidas-runtastic.md,2021,03,05,adidas-runtastic.md,takedown,1
2021-03-05-amazon.md,2021,03,05,amazon.md,takedown,1
2021-03-05-discord-authorization-helper.md,2021,03,05,discord-authorization-helper.md,takedown,2
2021-03-05-gatsby-blog-template.md,2021,03,05,gatsby-blog-template.md,takedown,1
2021-03-05-hoefler.md,2021,03,05,hoefler.md,takedown,65
2021-03-05-invision-power-services.md,2021,03,05,invision-power-services.md,takedown,2
2021-03-05-laravel-2.md,2021,03,05,laravel-2.md,takedown,2
2021-03-05-laravel.md,2021,03,05,laravel.md,takedown,1
2021-03-05-oreilly.md,2021,03,05,oreilly.md,takedown,17
2021-03-05-sensetime-2.md,2021,03,05,sensetime-2.md,takedown,4
2021-03-05-sensetime-3.md,2021,03,05,sensetime-3.md,takedown,2
2021-03-05-sensetime.md,2021,03,05,sensetime.md,takedown,6
2021-03-05-sourcecode.md,2021,03,05,sourcecode.md,takedown,1
2021-03-05-tech-mahindra-2.md,2021,03,05,tech-mahindra-2.md,takedown,1
2021-03-05-tech-mahindra-3.md,2021,03,05,tech-mahindra-3.md,takedown,1
2021-03-05-tech-mahindra.md,2021,03,05,tech-mahindra.md,takedown,1
2021-03-08-ntt-data-getronics-2.md,2021,03,08,ntt-data-getronics-2.md,takedown,14
2021-03-08-ntt-data-getronics.md,2021,03,08,ntt-data-getronics.md,takedown,190
2021-03-08-webkul.md,2021,03,08,webkul.md,takedown,4
2021-03-09-8i.md,2021,03,09,8i.md,takedown,2
2021-03-09-amazon.md,2021,03,09,amazon.md,takedown,1
2021-03-09-centauro.md,2021,03,09,centauro.md,takedown,1
2021-03-10-cortex.md,2021,03,10,cortex.md,takedown,3
2021-03-10-cyberghost.md,2021,03,10,cyberghost.md,takedown,1
2021-03-10-openconf.md,2021,03,10,openconf.md,takedown,1
2021-03-10-procedural-worlds.md,2021,03,10,procedural-worlds.md,takedown,8
2021-03-10-tech-mahindra.md,2021,03,10,tech-mahindra.md,takedown,1
2021-03-10-umd.md,2021,03,10,umd.md,takedown,1
2021-03-11-fhadmin.md,2021,03,11,fhadmin.md,takedown,4
2021-03-11-forward-tag-remover-bot.md,2021,03,11,forward-tag-remover-bot.md,takedown,16
2021-03-11-fuzzy-slic.md,2021,03,11,fuzzy-slic.md,takedown,1
2021-03-11-geeksforgeeks.md,2021,03,11,geeksforgeeks.md,takedown,1
2021-03-11-laravel.md,2021,03,11,laravel.md,takedown,1
2021-03-11-qualcomm-retraction.md,2021,03,11,qualcomm-retraction.md,retraction,1
2021-03-11-stereoarts.md,2021,03,11,stereoarts.md,takedown,1
2021-03-11-tech-mahindra-counternotice.md,2021,03,11,tech-mahindra-counternotice.md,counternotice,1
2021-03-12-devskiller.md,2021,03,12,devskiller.md,takedown,32
2021-03-12-flexiblog.md,2021,03,12,flexiblog.md,takedown,1
2021-03-12-freelancediary.md,2021,03,12,freelancediary.md,takedown,1
2021-03-12-jetbrains.md,2021,03,12,jetbrains.md,takedown,17
2021-03-12-magallanes.md,2021,03,12,magallanes.md,takedown,10
2021-03-12-packt-2.md,2021,03,12,packt-2.md,takedown,152
2021-03-12-packt-3.md,2021,03,12,packt-3.md,takedown,341
2021-03-12-packt.md,2021,03,12,packt.md,takedown,108
2021-03-12-rigrepo.md,2021,03,12,rigrepo.md,takedown,7
2021-03-12-sourcecode.md,2021,03,12,sourcecode.md,takedown,7
2021-03-12-theme_louma.md,2021,03,12,theme_louma.md,takedown,9
2021-03-12-webkul.md,2021,03,12,webkul.md,takedown,3
2021-03-16-altoholic.md,2021,03,16,altoholic.md,takedown,17
2021-03-16-bizople.md,2021,03,16,bizople.md,takedown,1
2021-03-16-damegender.md,2021,03,16,damegender.md,takedown,1
